schemaname,tablename,indexname,indexdef
public,dispute_followup_queue,idx_dfq_updated,CREATE INDEX idx_dfq_updated ON public.dispute_followup_queue USING btree (updated_at DESC)
public,dispute_followups,dispute_followups_pkey,CREATE UNIQUE INDEX dispute_followups_pkey ON public.dispute_followups USING btree (id)
public,dispute_followups,idx_df_status_due,"CREATE INDEX idx_df_status_due ON public.dispute_followups USING btree (status, due_date)"
public,dispute_followups,uq_df_client_bureau_due,"CREATE UNIQUE INDEX uq_df_client_bureau_due ON public.dispute_followups USING btree (client_id, bureau, due_date)"
public,docs_reminders,docs_reminders_bureaus_gin,CREATE INDEX docs_reminders_bureaus_gin ON public.docs_reminders USING gin (bureaus)
public,docs_reminders,docs_reminders_client_id_key,CREATE UNIQUE INDEX docs_reminders_client_id_key ON public.docs_reminders USING btree (client_id)
public,docs_reminders,docs_reminders_last_seen_idx,CREATE INDEX docs_reminders_last_seen_idx ON public.docs_reminders USING btree (last_seen DESC)
public,docs_reminders,docs_reminders_pkey,CREATE UNIQUE INDEX docs_reminders_pkey ON public.docs_reminders USING btree (id)
public,document_logs,document_logs_bureau_gin,CREATE INDEX document_logs_bureau_gin ON public.document_logs USING gin (bureau)
public,document_logs,document_logs_client_id_idx,CREATE INDEX document_logs_client_id_idx ON public.document_logs USING btree (client_id)
public,document_logs,document_logs_pkey,CREATE UNIQUE INDEX document_logs_pkey ON public.document_logs USING btree (id)
public,document_logs,document_logs_submitted_at_idx,CREATE INDEX document_logs_submitted_at_idx ON public.document_logs USING btree (submitted_at DESC)
public,document_logs,idx_document_logs_admin_id,CREATE INDEX idx_document_logs_admin_id ON public.document_logs USING btree (admin_id)
public,document_logs,idx_document_logs_callback_date,CREATE INDEX idx_document_logs_callback_date ON public.document_logs USING btree (callback_date)
public,document_logs,idx_document_logs_client_id,CREATE INDEX idx_document_logs_client_id ON public.document_logs USING btree (client_id)
public,document_logs,idx_document_logs_submitted_at,CREATE INDEX idx_document_logs_submitted_at ON public.document_logs USING btree (submitted_at)
public,document_routing,document_routing_pkey,CREATE UNIQUE INDEX document_routing_pkey ON public.document_routing USING btree (id)
public,ebooks,ebooks_pkey,CREATE UNIQUE INDEX ebooks_pkey ON public.ebooks USING btree (id)
public,employee_logs,employee_logs_pkey,CREATE UNIQUE INDEX employee_logs_pkey ON public.employee_logs USING btree (id)
public,employee_logs,one_log_per_employee_per_day,"CREATE UNIQUE INDEX one_log_per_employee_per_day ON public.employee_logs USING btree (employee_id, log_date)"
public,expenses,expenses_category_idx,CREATE INDEX expenses_category_idx ON public.expenses USING btree (category)
public,expenses,expenses_company_idx,CREATE INDEX expenses_company_idx ON public.expenses USING btree (company_id)
public,expenses,expenses_date_idx,CREATE INDEX expenses_date_idx ON public.expenses USING btree (date)
public,expenses,expenses_employee_idx,CREATE INDEX expenses_employee_idx ON public.expenses USING btree (employee_id)
public,expenses,expenses_pkey,CREATE UNIQUE INDEX expenses_pkey ON public.expenses USING btree (id)
public,hl_webhook_events,hl_webhook_events_pkey,CREATE UNIQUE INDEX hl_webhook_events_pkey ON public.hl_webhook_events USING btree (id)
public,incomes,incomes_client_idx,CREATE INDEX incomes_client_idx ON public.incomes USING btree (client_id)
public,incomes,incomes_date_idx,CREATE INDEX incomes_date_idx ON public.incomes USING btree (date)
public,incomes,incomes_employee_idx,CREATE INDEX incomes_employee_idx ON public.incomes USING btree (employee_id)
public,incomes,incomes_pkey,CREATE UNIQUE INDEX incomes_pkey ON public.incomes USING btree (id)
public,inquiry_removals,inquiry_removals_pkey,CREATE UNIQUE INDEX inquiry_removals_pkey ON public.inquiry_removals USING btree (id)
public,invoice_activation_logs,invoice_activation_logs_pkey,CREATE UNIQUE INDEX invoice_activation_logs_pkey ON public.invoice_activation_logs USING btree (id)
public,invoices,invoices_invoice_number_key,CREATE UNIQUE INDEX invoices_invoice_number_key ON public.invoices USING btree (invoice_number)
public,invoices,invoices_pkey,CREATE UNIQUE INDEX invoices_pkey ON public.invoices USING btree (id)
public,marked_clients,marked_clients_pkey,CREATE UNIQUE INDEX marked_clients_pkey ON public.marked_clients USING btree (id)
public,marked_clients,marked_clients_unique,"CREATE UNIQUE INDEX marked_clients_unique ON public.marked_clients USING btree (client_id, admin_id, bureau)"
public,notifications,idx_notifications_created_at,CREATE INDEX idx_notifications_created_at ON public.notifications USING btree (created_at DESC)
public,notifications,idx_notifications_status,CREATE INDEX idx_notifications_status ON public.notifications USING btree (status)
public,notifications,notifications_pkey,CREATE UNIQUE INDEX notifications_pkey ON public.notifications USING btree (id)
public,org_settings,org_settings_pkey,CREATE UNIQUE INDEX org_settings_pkey ON public.org_settings USING btree (id)
public,payment_verifications,payment_verifications_pkey,CREATE UNIQUE INDEX payment_verifications_pkey ON public.payment_verifications USING btree (id)
public,payroll_bonuses,payroll_bonuses_pkey,CREATE UNIQUE INDEX payroll_bonuses_pkey ON public.payroll_bonuses USING btree (id)
public,payroll_summary,idx_payroll_summary_week,"CREATE INDEX idx_payroll_summary_week ON public.payroll_summary USING btree (week_start, week_end)"
public,payroll_summary,payroll_summary_employee_id_week_start_key,"CREATE UNIQUE INDEX payroll_summary_employee_id_week_start_key ON public.payroll_summary USING btree (employee_id, week_start)"
public,payroll_summary,payroll_summary_pkey,CREATE UNIQUE INDEX payroll_summary_pkey ON public.payroll_summary USING btree (id)
public,payroll_summary,unique_employee_week,"CREATE UNIQUE INDEX unique_employee_week ON public.payroll_summary USING btree (employee_id, week_start)"
public,profiles,idx_profiles_email,CREATE UNIQUE INDEX idx_profiles_email ON public.profiles USING btree (email)
public,profiles,idx_profiles_role,CREATE INDEX idx_profiles_role ON public.profiles USING btree (role)
public,profiles,profiles_pkey,CREATE UNIQUE INDEX profiles_pkey ON public.profiles USING btree (id)
public,ssn_access_logs,ssn_access_logs_pkey,CREATE UNIQUE INDEX ssn_access_logs_pkey ON public.ssn_access_logs USING btree (id)
public,support_call_logs,support_call_logs_pkey,CREATE UNIQUE INDEX support_call_logs_pkey ON public.support_call_logs USING btree (id)
public,vision_board,vision_board_pkey,CREATE UNIQUE INDEX vision_board_pkey ON public.vision_board USING btree (id)
